Categoría	Error identificado	Evidencia observable en el estudiante	Posible origen	Acción del ITS	Acción docente
Conocimientos previos aritméticos	Error en la ley de signos	(-2)(-3) = -6	Comprensión insuficiente de números enteros	Proporciona ejercicios de refuerzo y retroalimentación inmediata	Realiza actividades de recuperación sobre números enteros
Conocimientos previos aritméticos	Errores en operaciones básicas	6x + 3x = 18x	Dificultades en suma y multiplicación de expresiones	Presenta ejercicios graduados y ejemplos guiados	Revisa operaciones fundamentales mediante trabajo colaborativo
Conocimientos previos aritméticos	Confusión en potenciación y radicación	x² + x² = x⁴	Uso incorrecto de propiedades	Ofrece explicaciones paso a paso y actividades de práctica	Fortalece conceptos mediante representaciones visuales
Conocimientos previos aritméticos	No identifica divisibilidad o factor común numérico	No reconoce que 6 y 12 tienen factor común 6	Deficiencias en divisibilidad y múltiplos	Activa ruta de nivelación aritmética	Realiza actividades de cálculo mental y divisibilidad
Pensamiento algebraico	No reconoce términos semejantes	4x + 3 ≠ 7x	Comprensión limitada de estructura algebraica	Presenta ejercicios de clasificación de términos	Utiliza representaciones concretas y ejemplos contextualizados
Pensamiento algebraico	Dificultad para interpretar las variables	Considera que la letra representa un objeto fijo	Comprensión limitada del concepto de variable	Genera ejemplos contextualizados y situaciones de modelación	Favorece discusiones sobre el significado de las variables
Pensamiento algebraico	Interpretación incorrecta del signo igual	Lo comprende únicamente como resultado	Concepción aritmética del signo igual	Presenta actividades sobre equivalencia y balance	Realiza actividades de razonamiento relacional
Pensamiento algebraico	Dificultades para reconocer estructuras algebraicas	No identifica un trinomio cuadrado perfecto	Escasa capacidad de generalización y reconocimiento de patrones	Presenta ejercicios de identificación de patrones	Utiliza representaciones gráficas y geométricas
Factorización	No identifica factor común	No encuentra elementos comunes entre términos	Limitaciones conceptuales y procedimentales	Ofrece pistas progresivas y ejemplos similares	Desarrolla ejercicios guiados en clase
Factorización	Extracción incorrecta del factor común	6x + 12 → 6(x + 12)	Comprensión insuficiente de la propiedad distributiva	Muestra el procedimiento paso a paso	Promueve la validación de respuestas
Factorización	Aplicación incorrecta del caso de factorización	Utiliza diferencia de cuadrados cuando no corresponde	Memoriza procedimientos sin comprender estructuras	Sugiere revisar características del polinomio	Promueve la comparación entre distintos casos
Factorización	No verifica el resultado obtenido	No desarrolla la expresión factorizada para comprobarla	Ausencia de hábitos de validación matemática	Solicita verificación obligatoria de la respuesta	Fomenta argumentación y justificación matemática
Autorregulación	Repetición constante del mismo error	Comete el mismo error en varios ejercicios consecutivos	No identifica la causa del error	Genera reporte de errores frecuentes y nuevas actividades	Realiza acompañamiento individual
Autorregulación	Ignora la retroalimentación suministrada	Continúa respondiendo incorrectamente después de recibir ayuda	Escasa autorregulación del aprendizaje	Solicita revisar la retroalimentación antes de continuar	Favorece procesos de reflexión metacognitiva
